Step,Strain,StrainRate,Temperature
1,0.1,6.142288867390723,991.9131862709346
2,0.1101010101010101,0.8427276799541167,1084.495523126072
3,0.12020202020202021,0.653092843049822,1048.7591398650115
4,0.1303030303030303,2.135659664039165,936.0780873699928
5,0.14040404040404042,2.3300722220710703,928.8118605662429
6,0.15050505050505053,4.631837018937715,939.6594159174466
7,0.1606060606060606,7.942456395917255,1017.988521322637
8,0.17070707070707072,2.3026930663345575,1124.4783885525012
9,0.1808080808080808,5.057006530492632,1122.2859715097943
10,0.19090909090909092,6.98643404792715,1111.5780018600526
11,0.20101010101010103,8.319429322721179,1060.3417783348646
12,0.21111111111111114,7.465114317062576,1095.8245857244037
13,0.22121212121212122,6.054388092161784,1064.212730772849
14,0.23131313131313133,2.3270939522058773,912.8200153288959
15,0.24141414141414144,9.43352838295139,1065.4922633730625
16,0.2515151515151515,2.7299086545407922,1095.7415230852107
17,0.26161616161616164,4.400766182624101,902.2490522436942
18,0.27171717171717175,8.06208803797548,956.2956663862446
19,0.28181818181818186,3.6135292759712687,1032.5499350052944
20,0.2919191919191919,3.565049202389764,998.9880153908549
21,0.3020202020202021,8.798319744345866,1029.0339660386537
22,0.31212121212121213,3.902260070782684,991.7089251056738
23,0.32222222222222224,1.0574230257314328,1043.2377975682489
24,0.33232323232323235,3.9234272965574646,1043.7729591239918
25,0.3424242424242424,2.623037264358949,1057.4241239820078
26,0.3525252525252526,1.106224736739015,1000.7225338704376
27,0.36262626262626263,2.579032936502415,1177.0251311979468
28,0.3727272727272728,5.450645119144696,1049.5605706241768
29,0.38282828282828285,9.239242822108197,1124.051543896499
30,0.3929292929292929,4.309934674618596,1169.3954335173537
31,0.40303030303030307,6.990135236637866,1105.020049381475
32,0.4131313131313131,8.970685774667551,1081.89606113543
33,0.4232323232323233,0.8102048271418013,925.0414000682617
34,0.43333333333333335,0.7676719178619406,916.5569938708181
35,0.4434343434343435,3.0582630198909793,1185.1060693618074
36,0.45353535353535357,8.600744470433526,952.2264571522576
37,0.4636363636363636,7.634640719499629,955.1095603356429
38,0.4737373737373738,8.033623746563295,982.2362925035493
39,0.48383838383838385,8.70544242205404,1148.5327052200269
40,0.493939393939394,1.2853525828092618,915.6866480322313
41,0.5040404040404041,0.025889598324161843,1161.1002081327947
42,0.5141414141414142,6.027138107252591,1101.5558440517543
43,0.5242424242424243,8.454164513116671,1171.7504266134931
44,0.5343434343434343,0.4407739119782703,927.3976611260208
45,0.5444444444444445,2.5696487995986117,1122.1921120635252
46,0.5545454545454546,4.828758413615551,1072.3842790383135
47,0.5646464646464647,3.884918994913506,901.4294190821865
48,0.5747474747474748,8.595284477959087,1173.7006186387143
49,0.5848484848484848,7.8562053599642265,1190.9746972074447
50,0.594949494949495,7.801732030337053,1178.3344136481958
51,0.6050505050505051,9.962346064155769,958.5298625425806
52,0.6151515151515152,2.2555181549560737,1010.8099681362387
53,0.6252525252525253,6.732193440534312,1021.1552444600761
54,0.6353535353535353,2.6362567914172814,1020.7048675341642
55,0.6454545454545455,7.036754673292339,1099.5785413565782
56,0.6555555555555556,6.46992474802799,1107.823331259407
57,0.6656565656565657,4.32076578039005,983.8748511738281
58,0.6757575757575758,8.102449013250297,1181.9341658514118
59,0.6858585858585858,5.800646023532854,964.5491458981709
60,0.695959595959596,5.816560590482964,1172.537408062498
61,0.706060606060606,4.3702222109642195,1069.3167702562328
62,0.7161616161616162,2.379533001668065,1067.2021876639924
63,0.7262626262626263,0.0574738622618813,928.8848816493143
64,0.7363636363636364,4.8591337471686575,1095.4431773103315
65,0.7464646464646465,8.608375790622341,1158.9388024203083
66,0.7565656565656566,8.725722041165113,998.0448168922087
67,0.7666666666666667,1.9338348194956514,1000.1900996987526
68,0.7767676767676768,1.6283569141620235,997.664599541896
69,0.7868686868686869,5.636063205194936,1086.9213606598807
70,0.796969696969697,3.107969442380885,1176.254240923688
71,0.8070707070707072,1.6641810536615993,932.1903973492714
72,0.8171717171717172,8.745810609568707,1160.2073022313039
73,0.8272727272727273,8.496763533730451,1161.0276746067539
74,0.8373737373737374,7.279441353863277,1103.488023594253
75,0.8474747474747475,9.174932290186637,1056.1360615154376
76,0.8575757575757577,5.115918362537033,985.9579251485952
77,0.8676767676767677,0.6141897757775984,1018.2547481740369
78,0.8777777777777778,1.540443680690247,944.8731285295471
79,0.8878787878787879,2.3968082945564353,925.3060244923938
80,0.897979797979798,0.547284510249583,1054.512364119532
81,0.9080808080808082,8.861370155757692,1150.627897716422
82,0.9181818181818182,9.914353199395046,1145.430536440331
83,0.9282828282828284,6.24152811668386,1187.0295464964581
84,0.9383838383838384,3.6535981573881595,1049.0366616166853
85,0.9484848484848485,8.423286633798492,1070.3517179506907
86,0.9585858585858587,1.3531409936639551,1010.9832682376248
87,0.9686868686868687,1.9967264752812888,954.6294428815967
88,0.9787878787878789,6.654971977905443,1064.2377586485356
89,0.9888888888888889,7.747443051378425,1079.656441785784
90,0.9989898989898991,0.5294305349443101,1164.0677846480867
91,1.0090909090909093,9.557801139248385,958.6825341278101
92,1.0191919191919192,6.020841983245873,1089.2919940225001
93,1.0292929292929294,0.6531293398302813,1106.5251262240865
94,1.0393939393939395,4.02545527656838,1000.3333233409528
95,1.0494949494949497,3.9183008853760284,921.3791130397664
96,1.0595959595959596,6.8310479763067775,961.8191963085336
97,1.0696969696969698,1.3929756725807532,1099.8318944357752
98,1.07979797979798,7.120983124921428,1063.0565247692643
99,1.08989898989899,2.8912409301129216,1068.2210492968964
100,1.1,0.7455125738874792,1098.080118994322
