X,Y,Temperature_1,Temperature_2,Temperature_3,Temperature_4
-50.0,-50.0,954.2485683065441,1047.762819254766,1103.7169471620105,1157.7114885634014
-44.73684210526316,-44.73684210526316,972.837959488665,1017.3072566455754,1122.7245443133545,1196.7149279223318
-39.473684210526315,-39.473684210526315,949.9140602891629,1034.260418070822,1145.5333814182422,1155.1799172417564
-34.21052631578947,-34.21052631578947,962.5486788161234,1022.7407390355379,1142.4041580131147,1242.3813500883691
-28.94736842105263,-28.94736842105263,993.5226822983876,1001.6310770764144,1168.6562295103772,1192.923909972538
-23.684210526315788,-23.684210526315788,963.2775643123322,1069.8837027159336,1167.3630113424967,1172.7050973796972
-18.421052631578945,-18.421052631578945,949.1869284566694,1013.8136398630876,1156.1707599848933,1189.0337934919646
-13.157894736842103,-13.157894736842103,977.1586501895772,1073.3693018619315,1175.3578351205704,1210.6123576743983
-7.89473684210526,-7.89473684210526,1007.9384980670487,1089.7984484997414,1157.8097928401091,1177.8915803929615
-2.6315789473684177,-2.6315789473684177,943.512165595975,1100.136247562125,1088.880792186055,1155.9545976630857
2.631578947368425,2.631578947368425,949.6322372949352,1064.9597855379345,1146.1855855221668,1148.066408453489
7.894736842105267,7.894736842105267,974.5893750809041,1011.7037488455017,1130.5672264712625,1243.1370259359524
13.15789473684211,13.15789473684211,1001.6252085422961,1006.895837273288,1096.076766261123,1151.6753901342993
18.42105263157896,18.42105263157896,963.135298755972,1052.429254821995,1124.9347243355833,1233.5124559475628
23.684210526315795,23.684210526315795,1010.0670263338299,1005.306855314061,1091.6971502387507,1161.0189143999673
28.94736842105263,28.94736842105263,970.8451035225363,1072.0059645300369,1099.1792784164945,1191.4753873638178
34.21052631578948,34.21052631578948,971.6661500867466,1061.5883523987484,1156.4894703525597,1250.2882099117908
39.47368421052633,39.47368421052633,1017.7866040573093,1036.764439028116,1141.588482130736,1233.016359710001
44.736842105263165,44.736842105263165,1004.62790469766,1057.2140273241462,1070.7523565614567,1165.4035145755913
50.0,50.0,1002.3683718469923,1072.3604961797912,1115.9768287821737,1145.4310918697383
